lex,lex_arb,root,def,src,id,lex_uncorrected,pg,dialect,phon,Cv,sem,ref,pos,etym,lex_arb2,def_arb,measure,imalah
"trāsal**, yitrāsal 19*",تراسل، يتراسل,rsl,"""to be passed down/transmitted"". baqat titrāsal maʕna min kēbir ila kēbir 29 ""[bee-keeping-lore] has kept on being passed down with us from generation (lit. grown man) to generation"".",Brockett 1985,596,,109,,,,,"[1347]; W ""to keep up a correspondence ...""; L 1082 ""... to do something alternately with someone"".",vi,,,,VI,check lex
"rašaḫ, yiršaḫ",رشخ، يرشخ,ršḫ,"""to throw at"". A Šināṣ word. 7,11,17 said that at Šināṣ, ""I threw the stone at you"" is aršaḫak mil-ḥaṣa; at Sohar it is arūšak mil-ḥaṣa; and at Khābūra armīk mil-ḥaṣa.",Brockett 1985,597,,109,,,,,,vt,,,,I,
"rišé 11,17",رشة*,ršw,"""a gāzra-rope"" from the ground over the duwwēre, joined to the kurr by the yēmiʕ [256], according to 12.",Brockett 1985,598,,109,,,,,"W rišāʔ ""rope, well-rope"".",n,,,,,check def ē
raṣīd,رصيد,rṣd,"[a] 11 [194] ""a receipt"". [b] raṣīd il-gaww 1 ""a [radio] weather-forecast"".",Brockett 1985,599,,109,,,,,"[a] P rasīd from Persian; HJ 757 raseed from English, shaped, probably by Persian rasīda ""arrived"". [b] W taqrīr ul-arṣād.",n,,,,,
rāṣṣ,راصص,rṣṣ,"""compressed"". tṣīr el-arḍ rāsse [sic: rāṣṣe?] šwayy 12 ""the earth gets a bit compressed"".",Brockett 1985,600,,109,,,,,"W raṣṣa ""... to compress ...""",adj,,,,,check lex
"mraṣṣa 17,19",مرصصة,rṣṣ,"""a piece of split wood/zora"" bound back together around an animal's scrotum to castrate by compression alone. It takes longer and is more awkward than [334], but is safer.",Brockett 1985,601,,109,,,,,,n,,,,,
"raḍḍaʕ**, yraḍḍiʕ** 11",رضَّع، يرضِّع,rḍʕ,"""to suck from"" the mother. = I; [1434].",Brockett 1985,602,,109,,,,,"W I ""to suck"", II ""to suckle"".",vt,,,,II,
"raḍam, yerḍam, ir-raḍīm",رضَّم، يرضم، ارضيم,rḍm,"[a] 17,20 ""to clean ground of large roots"". [b] 17 ""to thresh"".",Brockett 1985,603,,109,,,,,"[a] [342]; [1578]; H ""... to till (the earth)"". [b] [538]; R 48 roḍḍāme ""pulp""; W raḍḍa ""to crush ...""; H ""to walk heavily (beast ...)""",vt,,,,I,
ruḍwa 11,رضوة,rḍy,"""a sum paid by the husband to his first wife on taking a second"".",Brockett 1985,604,,110,,,,,"W riḍāʔ ""... conciliation"".",n,,,,,
"raṭab**, yerṭab",رطب، يرطب,rṭb,"of a palm, ""to produce ripe dates"". yerṭab iṣ-Ṣallāni 1 ""the Ṣallāni-palm's dates are ripe"". = [1338].",Brockett 1985,605,,110,,,,,"W ruṭab ""... ripe dates""; L 1101 IV.",vi,,,,I,
"trāṭan**, yitrāṭan**",تراطن، يتراطن,rṭn,"obs. ""to speak in a foreign language"", usually Balūši. trāṭinu 7,11 3rd pl. pf.",Brockett 1985,606,,110,,,,,"W I ""... to talk gibberish""; L 1103.",vi,,,,VI,check lex
"rṭīna 7,11,17",رطينة,rṭn,"""Balūši; a foreign language"". obs.",Brockett 1985,607,,110,,,,,"[1428]; W raṭāna ""... gibberish"".",n,,,,,
"rʕi 25*,29,30 / raʕi 14,23",رعي/ رَعي,rʕy,"[a] 25*,28,29 [910f] re bees, ""forage, pollen"". [b] 14,23 re livestock, ""pasture"".",Brockett 1985,608,,110,,,,,[b] W marʕan; L 1109 riʕy.,n,,,,,
"arbʕīn imrīʕi / il-imrīʕi 1 [23],3,25 ...",اربعين اِمريعي/ المريعي,rʕy,"""midwinter"". is-sine btinzil il-imrīʕi fī Ṣufar 1 ""this year midwinter will fall in Ṣafar"". According to 17 mrīʕi was a man in the olden days who hibernated in a cave for the forty coldest days of winter.",Brockett 1985,609,,110,,,,,"arbʕīn il-ʕaǧūz in Iraq; Swahili mrao ""... the cool season"".",n,,,,,
raġīb,رغيد,rġb,"[a] 7 ""thick"", opposite of waṣam. [b] 11 of soil, ""heavy"", opposite of rahīf.",Brockett 1985,610,,110,,,,,"L 1111 ""wide, ample ...""; H ""heavy ...""",adj,,,,,
"raġad**, yirġad**",رغد، يرغد,rġd,"""to let [a camel] go off and graze untended"". wayn bʕīr mālek? raġadteh 11 ""where's your camel?"" ""I let him loose"".",Brockett 1985,611,,110,,,,,"[735]; W ""... to be carefree""; L 1112 IV (of cattle).",vt,,,,I,
"traġġad, yitraġġad",ترغد، يترغد,rġd,"""to be let loose"". ragil mitraġġad 11 ""a man away from home, living a fast life"".",Brockett 1985,612,,110,,,,,,vi,,,,V,
raġīd / raġāyid 7,رغيد، رغايد,rġd,"""communally-owned camels"". ir-raġāyid mǣl il-gimǣʕa 11 ""the clan's grazing her"". raġīde one.",Brockett 1985,613,,110,,,,,"Mehri reġād, pl. rewēġed ""unattended camels"".",n,,,,,check lex
"rafṣa, pl. rafaṣ 12",رفصة، الجمع رفص,rfṣ,"""a step"", e.g. of a well-housing.",Brockett 1985,614,,111,,,,,"R 70; W raff ""shelf ..."", rafasa ""to kick"".",n,,,,,
"rafag 3 / rafaq 17,19, yerfag, ir-rafq / ir-rafaq (bil-māy)",رفج/ رفق/ يرفج، ارفق/ ارفق (بلماي)*,rfq,"""to give [a newly-sown crop] its first watering"". From the second onwards saqa is used.",Brockett 1985,615,,111,,,,,"W ""... to treat gently ...""",vt,,,,I,check lex
marfūq ʕale 11,مرفوق,rfq,"""forbidden for someone"".",Brockett 1985,616,,111,,,,,"R 7; L 1125 I ""... to bind a camel's arm to its shank ...""",adj,,,,,
"trāfa**, yitrāfa**",ترافة، يترافة,rfy,"of speech, ""calm, quiet"".",Brockett 1985,617,,111,,,,,"L 1117 rafaʔa ""... to calm someone ..."", VI ""to agree together ...""",vi,,,,VI,check lex
"raqīq 12,29",رقيق,rqq,"""[the edible] last stage of creamed milk"". When you take the cream (zibda) off milk (ḥalib), you have leben, which, when left, turns into raqīq. ḥalib when left turns into rob.",Brockett 1985,618,,111,,,,,"W ""... thin ... fine ...""",n,,,,,
"raqqam**, yraqqum 12",رقَّم، يرقُّم,rqm,"""to seal, stop up"" a gap. in-naḥal yraqqum boh il-bayt 29 ""the bee caps the cell with [mqill-resin]"".",Brockett 1985,619,,111,,,,,"L 1138 I ""... to seal, stamp, imprint ...""",vt,,,,II,
tarkīb 9,تركيب,rkb,"""a fireplace of stones"" for cooking. Also called mwaqqad iṭ-ṭahi [1715].",Brockett 1985,620,,111,,,,,"[170]; R 158 trukbe ""stone kettle-stove""; Ḥarsūsi arēkeb ""to put food in a pot to cook over the fire""; W ""... structure ...""; L 1145 ar-rawākid.",n,,,,,
"it-tarkībe 6,8,12",اتركيبة,rkb,"""the 10-20 foot-long gāzra-derrick cross-piece""on which the mangūr sits. It is supported by rawēgil [584].",Brockett 1985,621,,111,,,,,,n,,,,,check def ē
rikda,ركدة,rkd,"""an interior portion"" of a courtyard 1; ""a corner"" of a gelba 17.",Brockett 1985,622,,111,,,,,[572].,n,,,,,
"rikas, yirkis 7",ركس، يركس,rks,"""to sink"". tirkis dāḫl raml 17 ""[a car] sinks into sand"".",Brockett 1985,623,,112,,,,,"[477]; [1166]; W VIII ""... to be thrown back ...""; L 1146 v.t. ""to turn something over ...""; H rakāsa ""pole stuck into the earth"".",vi,,,,I,
rakīn 19*,ركين,rkn,"""coarse"", e.g. of ʕidil-fabric [1073].",Brockett 1985,624,,112,,,,,"[1569]; R 248 ""thick (of cloth etc.)""; W ""firm ...""",adj,,,,,
*aṣḥāb ir-ramze 26,اصحاب ارمزة,rmz,"""the men in charge of an exorcism, the interpreters of tongues"".",Brockett 1985,625,,112,,,,,"[1565]; W ramz ""... secret sign ...""",n,,,,,check lex
"ramas, yermas 11*,16*",رمس، يرمس,rms,"""to spend the evening chatting"". webaʕd it-trāwīḥ riǧʕu ile l-bayt ʕād yramsu weyitḫarrafu 26 ""and after the evening prayers in Ramadan they return home and spend the evening chatting and talking"".",Brockett 1985,626,,112,,,,,"[413]; [947]; § 4.6 1.1.1; Ḥarsūsi remōs ""to talk, chat""; W samura.",vi,,,,I,
"rimḍām is-Sidur 13*,29",رمضام اسدُر*,rmḍm,"""immature Sidr-berries"".",Brockett 1985,627,,112,,,,,[1271]; [1386]; [1408]; R 163 ḫḍumḍām.,n,,,,,check lex
"ramm, pl. rmūm 12 [376a]",رمم، الجمع رموم,rmm,"""privately-owned ground"", not deserted.",Brockett 1985,628,,112,,,,,"R 61 ""landed property""; Wilkinson 68, 261f. ""deserted property"".",n,,,,,
"rummēn 2,3,9 [240] ...",رُمّين*,rmn,"""a crown"", most usually of a lucerne-plant; rummānt el-ʕuḏq 25 ""the head of the date-raceme"", where the tie is attached at ḥidār 296.",Brockett 1985,629,,112,,ā > ē,,,"W ""pomegranate, knob ...""",n,,,,,ā > ē
"rama, yirma",رمى، يرمى*,rmy,"""to sow"". min yiẓhar Shayl tirmāh daḫl l-arḍ 17 ""once Canopus has risen you sow [ṣayf] in the ground"". yirmi (W) is also used, [597].",Brockett 1985,630,,112,,,,,[571].,vt,,,,I,
rang 20*,رنج,rng,"""colour"".",Brockett 1985,631,,112,,,,,Jb 828 Hindi or Persian; S; P.,n,,,,,
"mrangaḥ 7*,13*",مرنجح,rngḥ,"""a child's swin"". = [1458].",Brockett 1985,632,,113,,,,,"R 258 mrungāḥa; Jb 871 marangūḥa; W inraǧaḥa/tamarǧaḥa ""to swing back and forth ...""",n,,,,,
"rande 1,19*",رندة,rnd,"""a metal tool for planing wood"".",Brockett 1985,633,,113,,,,,"S ""a joiner's plane ...""",n,,,,,
"rinz 19*,29",رنز,rnz,"""rice"". Uncommon in Khābūra where ʕayš [1147] is the usual word.",Brockett 1985,634,,113,,,,,R 42; W ruzz; L 1165.,n,,,,,
mranqaš 17,مرنقش,rnqš,"""dappled"", e.g. of a sini [775].",Brockett 1985,635,,113,,,,,"[636]; W raqaša ""to variegate ...""",adj,,,,,
mranqaṭ 7,مرنقط,rnqṭ,"""dappled"", e.g. of a goat.",Brockett 1985,636,,113,,,,,,adj,,,,,
rahīf,رهيف,rhf,"""scrawny"", of a plant 2; ""soft"", of fruit 6; ""light"", of soil 11.",Brockett 1985,637,,113,,,,,"[610]; W ""thin, slender ...""",adj,,,,,
"rūti 11*,30",روتي,rwty,"""a loaf of bread"". = [891].",Brockett 1985,638,,113,,,,,P roṭī,n,,,,,
"rawwaḥ**, yrawwiḥ** 6 [1541b],15 (§ 4.5 example 1),17 [1461d] ...",روَّح، يروِّح,rwḥ,"""to go away/off"".",Brockett 1985,639,,113,,,,,W I.,vi,,,,II,
"rāwaḥ**, yrāwiḥ",راوح، يراوح,rwḥ,"""to rest"". yrāwiḥ aẓ-ẓuhr 12 ""[the gāzra-worker] rests at noon"".",Brockett 1985,640,,113,,,,,W VIII.,vi,,,,III,check lex
"rūḥ, pl. ruwāḥ",روح، الجمع رواح,rwḥ,"""self"", + pronominal suffixes, e.g. brūḥha 6,17 ... ""by itself""; bruwāḥna 13* ""by ourselves"".",Brockett 1985,641,,113,,,,,"W ""... soul, spirit ...""",n,,,,,check lex
"aryaḥ 11,17* / arwaḥ 4,11*,23",اريح/ اروح,rwḥ,"""easier"".",Brockett 1985,642,,113,,,,,"W arwaḥ ""more calming/soothing"".",adj el,,,,,
mrāḥa,مراحة,rwḥ,"""ease of life"". farqiyya kabīra mā bayn mrāḥena ilʔēn wemrāḥetna l-awwal 16 ""there's a big difference between our ease of life now and before"". For marāḥ see [1460].",Brockett 1985,643,,114,,,,,,n,,,,,check lex
"rāḫ, yrūḫ 17*",راخ، يروخ,rwḫ,"""to fall"", of price. rāḫ is-siʕr 1 ""the price came down.",Brockett 1985,644,,114,,,,,"W raḫuṣa ""to be cheap ...""",vi,,,,I,check lex
"rwayd 3,13*,16* ...",رويد,rwd,"""a parsnip-sized radish"", with edible leaves. = fīl/figil.",Brockett 1985,645,,114,,,,,"Jb 860 from Persian; S roʔīdanī ""vegetables""",n,,,,,
rozan,روزن*,rwzn,"""a small recessed alcove"", in a well-housing for tools 12, in a wall for Apis florea 30.",Brockett 1985,646,,114,,,,,"[1387]; H ""mural aperture ... (Persian)""; S.",n,,,,,
"rāwas**, yrāwis** / yraywis**",راوس، يراوس/ يريوس,rws,"""to reverse"" a car. rāwis! 16* / raywis! 19* ""reverse!""",Brockett 1985,647,,114,,,,,English.,vt,,,,III,check lex
"rāġ, yrūġ",راغ، يروغ,rwġ,"[a] ""to pursue"" freely-grazing animals. yrūġhin yrawwuġhin 23 ""he goes after them, he pursues them"". [b] 7,11 ""to drive [an animal] along"". = [369]. [c] ""to chase someone away"". rūġah! kuššeh! 11 ""get rid of him! see him off!""",Brockett 1985,648,,114,,,,,"[c] W ""... to go away ...""",vt,,,,I,check lex
"rawwaġ**, yrawwiġ**",روَّغ، يروغ,rwġ,= I [a].,Brockett 1985,649,,114,,,,,,vt,,,,II,
rōġa,روغة,rwġ,"[a] 7 ""a small silver horn"", worn in the belt, for holding a kohl-bodkin; ""a large engraved horn"", used in the mountains for calling livestock. [b] 20 [1326] ""an onion-bulb"".",Brockett 1985,650,,114,,,,,[a] [92]. [b] [65].,n,,,,,
"rām, yrūm",رام، يروم,rwm,"mā rām, mā yrūm [a] auxiliary verb 10,12,23 [206a] ... ""to be unable to"". = [1051a]. [b] v.i. + l- ""to be unable to do something"". mā rām loh 17 ""he couldn't do it"". [c] v.i. ""to be unwell"". Only in the act.pt. (?) mā rāym 7 ""unwell"".",Brockett 1985,651,,115,,,,,"[b] W rāma v.t. to desire ..."" [c] Jb 875.",v,,,,I,check lex
"rawwan, yruwwun**",روّن، يروّن,rwn,"""to finish"". rawwanteh 11* ""I've completed it""; mruwwuneh? 11*,19* ""have you finished it?""",Brockett 1985,652,,115,,,,,[445]; R 151.,vt,,,,II,
rayze rayze,ريزة ريزة,ryz,"obs. ""bit by bit"". = marra marra 7; ʕidd rayze rayze 11 ""tot [it] up item by item"".",Brockett 1985,653,,115,,,,,"Jb 862 from Persian ""in bits, in pieces""; W rāzu u ""to weigh, examine ...""; S rez-rez.",adv,,,,,
"rāḍ, yrīḍ",راض، يريض,ryḍ,"""to wait for"". arīḍak 7* ""I'll wait for you"". = [306].",Brockett 1985,654,,115,,,,,"R 203; L 1186 rāḍa (yarūḍu) nafsahu ""... he subdued himself ... became forbearing ...""",vt,,,,I,check lex
"treyyaq**, yitreyyaq** 12*,13*,19*",تريق، يتريق,ryq,"""to have an early/mid-morning meal"".",Brockett 1985,655,,115,,,,,R 218.,vi,,,,V,
"ryūqa 4*,12*",ريوقة,ryq,"""an early/mid-morning meal"".",Brockett 1985,656,,115,,,,,"W ʕala r-rīq ""before breakfast ...""; L 1203 rayyūq ""the first part of anything""; H rāʔiq.",n,,,,,
"zabīl 8,12,29",زبيل,zbl,"""a basket"", about two and a half foot across, woven from palm-leaves and used for ḫarāf [411].",Brockett 1985,657,,115,,,,,[56]; W zanbīl; L 1212.,n,,,,,
"zigar, yizgar, iz-zigur 8,15,17",زجر، يزجر، ازجُر,zgr,"""to draw water by ox"".",Brockett 1985,658,,115,,,,,"[235]; W ""to drive back ...""; L 1216 ""... to urge animals on ...""",vt,,,,I,
"iz-zāgira 8,12",ازاجرة,zgr,"""the ox-walk well"". A less common pronunciation of [236].",Brockett 1985,659,,116,,Metathesis,,,,n,,,,,check lex
zēgil,زاجل*,zgl,"[a] 17,19 ""a small noose on the gāzra kurr-rope"", through which passes the bucket-handle. [b] 17 [814],19 ""a noose-shaped brand"".",Brockett 1985,660,,116,,,,,"[a] R 44 ""a leg tie""; H ""peg of a water-skin, ring on the butt of a spear ..."" [b] [1695].",n,,,,,check lex ē
"zaga, yizgi",زجة، يزجي,zgy,"of a child/kid etc., ""to take to solid food"". yizgi ʕan ummuh 17 ""it no longer wants its mother's milk"".",Brockett 1985,661,,116,,,,,,vi,,,,I,
"zǣgi 11,12",زاجي,zgy,"act.pt. of I, ""frisky"".",Brockett 1985,662,,116,,,,,"L 1217 I ""to act with energy"".",ap,,,,,ā > ǣ
"ziḥḥ, yziḥḥ 17",زحح، يزحح,zḥḥ,"=+ ʕale ""to deceive someone"", e.g. of a mirage.",Brockett 1985,663,,116,,,,,,vi,,,,I,
"zaḥaf, yizḥaf",زجف، يزحم,zḥf,"""to move aside from"". izḥaf ʕanneh! 11 ""get out of the way [of the snake]!""",Brockett 1985,664,,116,,,,,"[458a]; R 135; W ""... to advance (army) ...""",vi,,,,I,
"zdiḥam**, yizdiḥam**",زدجم، يزدحم,zḥm,"""to be oppressive"". iz-zdiḥam 17 ""the unpleasantness [of humidity]"".",Brockett 1985,665,,116,,,,,"W ""crowd ...""",vi,,,,VIII,
zaḥme 4,زحمة,zḥm,"""difficulty"", e.g. of well-digging in the mountains.",Brockett 1985,666,,116,,,,,"EADS 7 ""trouble""; W ""... crowd ...""",n,,,,,
"zaḫḫ, yzuḫḫ, iz-zḫāḫ 1,5,24 ...",زخخ، يزخخ، ازخاخ,zḫḫ,"""to grasp tightly"".",Brockett 1985,667,,116,,,,,"[270]; L 1221 'to push ...""",vt,,,,I,check lex
"zāḫi 12,13*,17*",زاخي,zḫy,"""dust"" in the air, ""dirt"" in the house.",Brockett 1985,668,,116,,,,,R 44.,n,,,,,check lex
"zarb, pl. zrūb 11*,17,23",زرب، الجمع زروب,zrb,"""a livestock-pen/enclosure"".",Brockett 1985,669,,116,,,,,[487b]; W zarība; L 1224.,n,,,,,
"zarbūl, pl. zrǣbīl 7,11,17",زربول، الجمع زرابيل,zrbl,"""children's sandals"".",Brockett 1985,670,,116,,,,,"R 76 ""stocking""; W ""a kind of shoe""; H ""high-heeled leathern boots (Greek)"".",n,,,,,ā > ǣ
"zurr, yzurr",زورر، يزورر*,zrr,"[a] v.i. 17,23 (§ 4.6 example 46) of animals, ""to crowd/stick together"". [b] v.t. 7,11 ""to bind something"". bitzurr iṣ-ṣarma 25 ""[then] you bind up the palm-cutting"".",Brockett 1985,671,,117,,,,,"[b] [699]; W ""to button (up) ...""; L 1223 ""... to draw together ...""",v,,,,I,
iz-zrārīʕ 3,ازراريع,zrʕ,"""farmers"".",Brockett 1985,672,,117,,,,,W zarrāʕūn/zurrāʕ.,n,,,,,check lex
"zuṭṭi, pl. zṭūṭ 7,17 [810],30",زُطّي، الجمع زطوط*,zṭṭ,"... ""a poor, gypsy-type"", with his own language.",Brockett 1985,673,,117,,,,,H Syrian.,n,,,,,
"zaʕab, yizʕab 11,17",زعب، يزعب,zʕb,"""to draw water"". tizʕab ʕale ṯ-ṯor 8 ""you draw water by the ox"".",Brockett 1985,674,,117,,,,,"L 1230 ""... to fill (a vessel) with liquid ...""",vt,,,,I,
"*zaʕīma, pl. zʕāyim 27",زعيمة، الجمع زعايم,zʕm,"""a dhow"", smaller than a lanš, W ""launch ...""",Brockett 1985,675,,117,,,,,[419]; [764].,n,,,,,check lex
"zaġaṭ, yizġaṭ/yizġuṭ",زغط، يزغَط/يزغُط,zġṭ,"[a] v.t. 17* ""to suck up, drink"". makīna tizġaṭ il-māy 1 ""a well-pump sucks the water up""; tizġuṭ il-māy inte wāyid 1 ""you drink a lot of water"". [b] v.i. + ʕale 17* ""to importune, exert pressure on"". il-wāli zaġaṭ ʕalayh 1 ""the mayor forced him [to pay the fine immediately]"".",Brockett 1985,676,,117,,ḍ > z,,,[b] W ḍaġaṭa ʕala,v,,,,I,
zuġṭ/zaġṭ,زُغط/ زَغط,zġṭ,"""a rush; pressure"". zaġṭ māy 17 ""a rush of water""; zuġṭ il-māy 7,17 ""water-pressure""; zaġṭ id-dem 1 ""blood-pressure"".",Brockett 1985,677,,117,,ḍ > z,,,W ḍaġṭ.,n,,,,,
"zefen, yizfin, iz-zufūn 10,26",زفن/ يزفن، ازفون,zfn,"[a] v.t. zefen yizfin, iz-zufūn 10,26 ""to tie clipped palm-fronds"" into sheets [506]. yzifnu dʕūn 9 ""they're making palm-frond-sheeting"". [b] v.i. * ""to dance"" (W). iz-zifēne 26 ""ʕīd-dancing"".",Brockett 1985,678,,117,,,,,[a] L 1237 zifn = palm-frond-sheeting.,v,,,,I,check def ē
"zaqar, yuzqur 16 [438],17 ...",زقر، يُزقُر,zqr,"""to call out to"". zquruh! 14* ""call him!""",Brockett 1985,679,,118,,,,,,vt,,,,I,
"zagg, yzugg 13*",زجج، يزجج,zqq,"of humans, ""to defecate"".",Brockett 1985,680,,118,,,,,"[119]; [1619]; Jb 836 zaqq ""faeces""; L 1238.",vi,,,,I,
"zekka**, yzekki",زكى، يزكي,zkw,"""to give alms"". el-ḥīne ma ḥad yzekki, mā yzekkūn 6 ""nowadays, no one gives alms, they don't give alms"".",Brockett 1985,681,,118,,,,,"[1577]; W zakāh ""... alms ...""; L 1240",vi,,,,II,
"tzekki**, yitzekki",تزكي، يتزكي,zkw,"* = II. fī kull sene marra yitzekki 26 ""once every year he gives alms"".",Brockett 1985,682,,118,,,,,L 1240.,vi,,,,V,
"*zell, yzell 29",زلل، يزلل,zll,"""to remove"". hēḏēk zelleh! 30 ""take that one out!""",Brockett 1985,683,,118,,,,,[862].,vt,,,,I,check def ē
"*zambor, pl. znābīr 30",زمُر، الجمع زنابير,zmbr,"""an Apis florea drone"".",Brockett 1985,684,,118,,,,beekeeping,"[402b]; W zunbūr, pl. zanābīr ""hornet""; for m/n cf. [1383].",n,,,,,check lex
zāmuṭ 11,زامُط,zmṭ,"""vigorous"".",Brockett 1985,685,,118,,,,,"R 137 ""cheerful""; W I ""to escape ...""; H I ""to scamper off (Syrian)"".",adj,,,,,check lex
zumūl 9,زُمول,zml,"""a camel-caravan"".",Brockett 1985,686,,118,,,,,"W zumla ""... company (of people)""; L 1253 zawmala.",n,,,,,
"mizmǣ 1 / mizmé 12, pl. mezēmi",مزمة/ مزمة، الجمع مزامي*,zmy,"""a basket"". = [56].",Brockett 1985,687,,118,,,,,Jb 818.,n,,,,,ā > ǣ
zend 6,زند,znd,"""[the whole] arm"". zendeh dʕīf [sic] 17 ""he (lit. his arm) is weak"".",Brockett 1985,688,,118,,,,,"[1749]; R 56; Nautical Kuwaiti zand ""one of the stout iron rails on either side of the foredeck to which the anchor cable is made fast ..."" or perhaps, ""any long object that is found aboard in pairs""; Ḥarsūsi ""forearm""; L 1257 ""forearm"".",n,,,,,
"zanna**, yzanni 7,17",زنة، يزني,zny,"""to abuse, slander"". wāḥad yzannīk ... 11 ""[if] someone slanders you ...""",Brockett 1985,689,,119,,,,,"W zināʔ ""adultery ...""; L 1260 ""to impute to someone fornication ...""",vt,,,,II,
"zeheb, yizhab 1,11 / yizhib 25, iz-zuhūb 12,20,21 ...",زهب، يزهَب/ يزهِب، ازِهوب,zhb,"""to be ready"". act.pt. § 2.4.6 example 30.",Brockett 1985,690,,119,,,,,[80].,vi,,,,I,
"*zaha, yizhi",زهى، يزهي,zhy,"""to flower"". il-ʕalʕalēn mā ysawwi ferrāḫ, mā yizhi 29 ""the juniper doesn't produce blossom, it doesn't flower"".",Brockett 1985,691,,119,,,,,[1211]; W zahā u.,vi,,,,I,check def ē
"zor 1,8,12 (§ 4.6 example 4) ...",زور,zwr,"""palm-leaf mid-ribs"". zora one.",Brockett 1985,692,,119,,,,,[699]; L 1268.,n,,,,,
"zāʕ, yzūʕ 23*,29",زاع، يزوع,zwʕ,"""to vomit"".",Brockett 1985,693,,119,,,,,,vi,,,,I,check lex
zūʕ 12 [200],زوع,zwʕ,"""vomit"".",Brockett 1985,694,,119,,,,,,n,,,,,
"zēm 12,17",زيم*,zwm,"""a work-shift"".",Brockett 1985,695,,119,,ā > ē,,,"[544a]; Nautical Kuwaiti zām ""a watch or stint""; Swahili zamu.",n,,,,,ā > ē
"zēna, pl. zwēn",زينة، الجمع زوين*,zwn,"[a] 17 ""a bullet"". [b] 17 ""tools, equipment"". ḥaddēd ygūl gīb zēnti 11 ""a blacksmith says, bring my tools"". [c] 17 ""a coffee-pot"". A bedu word for midlé [518].",Brockett 1985,696,,119,,,,,,n,,,,,check lex ē
"zaytūn 8*,17*,19*",زيتون,zyt,"""a guava-tree/fruit"".",Brockett 1985,697,,119,,,,,[272]; Jb 842.,n,,,,,
zod 6 [348],زود,zyd,"""a surplus; great amount"".",Brockett 1985,698,,119,,,,,"EADS 125 Dubai ""excess""; W ziyāda, mazīd; H ""... excess (Syrian)"".",n,,,,,
"zayyar**, yzayyir 2",زيَّر، يزيِّر,zyr,"""to bind up"" the leaves of a palm-cutting until it has struck root, e.g. with palm-fibre, sacking or a zora, to stop the sun hitting the centre of the young plant. tzayyir iṣ-ṣarma biz-zora 25 ""you bind up the cutting with the mid-rib"". A variant of [671b]; [791].",Brockett 1985,699,,120,,,,,"W ""to close (a button) (Moroccan)"".",vt,,,,II,
"zār, pl. zīrān 7,9,16 ...",زار، الجمع زيران,zyr,"""a large exorcism"", often in a distant or secret place, with drums, poetry etc.",Brockett 1985,700,,120,,,,,[1564].,n,,,,,check lex
"zīle 12*,13*",زيلة,zyl,"""a bucket"".",Brockett 1985,701,,120,,,,,"[133]; [254]; Swahili sila; S sulla ""tub"" from Arabic; W salla ""basket"".",n,,,,,
"zayn! (W) / nzayn! 2,9,10 ... / zayne! 17",زين!/ نزينّ / زينة!,zyn,"interjection, ""good!"" ""well then!""",Brockett 1985,702,,120,,,,,,part,,,,,
*azyan 29*,ازين,zyn,"""better"".",Brockett 1985,703,,120,,,,,W ḫair.,adj el,,,,,
"ziyy, ziyye",زيي، زيّة,zyy,"[a] ziyy 16 ""a beduin circumcision-party"". [b] ziyye 11 ""a wedding-party"".",Brockett 1985,704,,120,,,,,"[a] [591]; [594]. [b] R 245 ""festivity"".",n,,,,,
"sabaḥ, yisbaḥ 11*",سبح، يسبح,sbḥ,"""to wash oneself in"". wel-feleg ysibḥūh 30 ""and [the bedu] wash in [our] conduit"".",Brockett 1985,705,,120,,,,,"R 168 V; W v.i. ""to swim ...""",vt,,,,I,
"sbaḫa 9,12,19* ...",سبخة,sbḫ,"""soft, dry, white earth"", encrusted with salts.",Brockett 1985,706,,120,,,,,"W ""salt marsh ...""; L 1292 ""... salt earth ...""",n,,,,,
"sabal, yisbar",سبل، يسبر,sbr,"""to watch"". asbar ʕannak 11 ""I'll watch you"".",Brockett 1985,707,,120,,,,,"W v.t. ""... to examine"".",vi,,,,I,
"sabbar**, ysabbir 7",سبر، يسبر,sbr,"""to investigate, check"".",Brockett 1985,708,,120,,,,,,vt,,,,II,
sbring 21,سبرنج,sbrng,"""a [vine-]tendril"".",Brockett 1985,709,,120,,,,,English.,n,,,,,
"sbūʕ 8,30, pl. swābiʕ 1,3 / usbūʕāt 8",سبوع، الجمع سوابيع/ اُسبوعات,sbʕ,"""a week"". taqrīb muddat sbūʕ 9 ""for about a week"".",Brockett 1985,710,,121,,,,,"W usbūʕ, pl. asābīʕ.",n,,,,,check lex
"seble 5*,10,19*",سبلة,sbl,"""a covered reception-area/room of a house"".",Brockett 1985,711,,121,,,,,[81]; Swahili sebule.,n,,,,,
sibēl,سبال,sbl,"""a monkey"". is-sibēl ǣdmi baʕd 13 ""monkeys are human too"". sabbēle 26 ""a she-monkey"".",Brockett 1985,712,,121,,,,,"R 59 sebāl m., sebāle f.",n,,,,,check lex ē
"seben, pl. sbāna 23,25,28 ...",سبن، الجمع سبانة,sbn,"""a bee-colony, byke"".",Brockett 1985,713,,121,,,,,[1571].,n,,,,,check lex
"sēbe, pl. -ēt 2,11*,25 ...",سابة، الجمع سابات*,sby,"""a row of gillēb"" ([252]), irrigated from one channel.",Brockett 1985,714,,121,,,,,"L 1469 sāf, pl. -āt ""any row ...""",n,,,,,check lex ē
